Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
1738,www.drei.at,Vienna,2018-02-27T00:12:34.930222Z,3.5088376853924665,21.908,48344448.75462328,96158768.69968632,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:12:57.383282Z,3.5088376853924665,21.83,46646680.51684579,94607154.63091747,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:13:20.750767Z,3.5088376853924665,23.25,48271248.22933153,93450647.6014516,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:13:42.483048Z,3.5088376853924665,21.239,46265924.17225984,93413014.17730717,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:14:05.058593Z,3.5088376853924665,20.931,48351197.86233834,80628447.22352134,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:14:26.618247Z,3.5088376853924665,20.862,48313750.99493118,94942790.01619934,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:14:48.238734Z,3.5088376853924665,21.803,48360959.00605749,95848533.63120858,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:15:10.237225Z,3.5088376853924665,210.444,42141832.70756973,95073871.79569553,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:15:33.524643Z,3.5088376853924665,21.199,48330554.90388154,95634997.27706309,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:15:55.182048Z,3.5088376853924665,21.022,48359855.16949683,94322073.85916045,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:16:16.906289Z,3.5088376853924665,21.111,43408003.63338465,94676342.3996766,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:16:39.114218Z,3.5088376853924665,21.092,48191879.536481686,94483963.06551734,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:17:00.685248Z,3.5088376853924665,22.235,48296021.75469592,78552733.87611909,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:17:25.648795Z,3.5088376853924665,22.265,48087262.47487224,91255466.42284375,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:17:47.790723Z,3.5088376853924665,21.894,48273572.46553353,66857426.15816273,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:18:13.583437Z,3.5088376853924665,150.045,42337744.14577596,93451826.95311657,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:18:36.925207Z,3.5088376853924665,22.023,47308601.58692364,93907241.25384527,,213.164.24.3
